mulExpAtom	+ - < > <= >= == != = , ; ) # 
mulExp	+ - < > <= >= == != = , ; ) # 
funcType	IDN # 
argVarDef	, ; # 
bType	IDN # 
blockItem	} # 
addExp	< > <= >= == != = , ; ) # 
funcDef	const void int # 
funcFParam	, ) # 
initVal	, ; # 
argFunctionR	) # 
argVarDecl	; # 
constDef	, ; # 
block	const void int ; { return INT IDN } # 
compUnit	# 
program	# 
constInitVal	, ; # 
decl	const void int ; { return INT IDN } # 
eqExpAtom	= , ; ) # 
constExp	, ; # 
constDecl	const void int ; { return INT IDN } # 
assignExp	, ; ) # 
varDef	, ; # 
argConst	; # 
varDecl	const void int ; { return INT IDN } # 
funcFParams	) # 
stmt	const ; { return int INT IDN } # 
eqExp	= , ; ) # 
argFunctionF	) # 
callFunc	* / % + - < > <= >= == != = , ; ) # 
assignExpAtom	, ; ) # 
funcRParam	, ) # 
funcRParams	) # 
argExp	; # 
unaryExp	* / % + - < > <= >= == != = , ; ) # 
number	* / % + - < > <= >= == != = , ; ) # 
exp	, ; ) # 
relExp	== != = , ; ) # 
relExpAtom	== != = , ; ) # 
addExpAtom	< > <= >= == != = , ; ) # 
